V161008,V161009,V161019,V161112,V161126,V161241,V161265x,V161267,V161268,V161270,V161272,V161276x,V161307,V161310x,V161315,V161316,V161322a,V161326,V161329,V161334,V161361x,V162030,V162095,V162096,V162097,V162098,V162099,V162100,V162101,V162102,V162103,V162104,V162105,V162106,V162107,V162108,V162109,V162110,V162111,V162112,V162113
6,2,4,1,4,1,2,55,1,9,9,7,3,1,1,1,0,1,1,2,15,0,85,54,25,73,60,42,51,52,55,29,64,53,92,54,40,84,23,81,1
7,1,4,1,3,1,4,39,1,13,13,1,3,1,1,1,0,1,1,2,21,0,70,87,83,83,98,61,17,40,84,32,99,15,59,99,39,100,70,69,39
7,1,0,1,6,1,4,68,1,13,11,5,0,1,1,1,0,1,1,3,22,0,85,18,30,41,91,61,98,71,40,61,75,70,100,98,71,86,40,86,41
0,0,0,1,2,2,8,37,6,14,0,1,4,1,1,1,0,1,1,2,24,0,1,100,70,40,70,30,1,50,85,15,70,70,50,85,1,40,50,50,100
7,3,0,1,4,1,4,53,1,11,10,1,3,1,1,1,0,1,1,2,26,0,60,85,60,70,100,85,60,85,70,50,60,70,70,85,70,100,70,85,85
7,1,2,1,7,1,5,75,1,13,13,7,4,1,1,1,0,1,1,3,21,0,100,40,29,30,61,50,86,69,50,61,51,51,100,94,61,84,52,32,1
7,2,0,1,4,2,4,67,1,10,10,5,3,1,1,1,0,1,1,3,1,0,52,50,40,50,73,50,61,49,51,41,51,51,87,50,51,85,51,82,60
4,4,1,1,4,1,7,28,1,14,14,1,0,1,1,1,0,1,1,2,25,0,0,70,60,50,85,50,40,70,100,15,70,70,100,85,50,85,50,85,15
7,3,2,1,3,1,1,50,1,12,12,1,3,1,1,1,0,1,1,2,28,0,15,80,75,60,74,61,16,70,85,60,75,80,70,85,70,80,80,95,40
7,1,0,1,99,1,2,63,1,9,4,6,1,1,1,1,0,2,1,1,1,0,70,1,1,40,85,15,50,30,1,15,30,40,85,85,30,100,40,40,1
7,2,0,1,6,1,4,46,1,13,16,7,3,1,1,1,0,1,1,2,26,0,70,40,40,40,100,15,100,40,50,40,100,50,100,100,100,50,15,100,30
3,4,0,1,4,1,1,53,6,11,0,4,1,1,1,1,0,1,1,1,8,0,70,70,65,80,85,55,70,65,50,65,50,50,80,50,75,75,50,85,50
1,4,4,1,3,2,1,25,6,13,0,1,3,1,1,1,0,1,1,1,14,0,49,82,75,60,70,50,51,50,94,50,73,98,87,100,50,69,86,58,50
6,3,2,1,6,1,5,58,1,10,10,1,2,1,1,1,0,1,1,3,11,0,93,50,2,41,79,52,77,31,7,51,65,1,99,92,78,70,5,32,1
7,3,0,1,5,1,2,38,1,10,9,1,3,1,1,1,0,1,1,2,27,0,60,50,20,40,60,85,100,40,50,40,60,50,100,70,80,90,50,85,50
7,2,2,1,5,2,6,40,1,14,14,1,0,1,1,1,0,1,1,1,20,0,30,85,40,50,60,85,60,60,100,50,85,30,60,100,60,85,100,100,15
7,1,0,1,2,1,5,37,1,14,16,1,0,2,1,1,0,1,1,2,24,0,1,100,100,100,100,85,100,50,100,85,100,100,100,100,100,100,100,100,100
7,3,4,1,4,1,2,65,4,13,0,1,2,1,1,1,0,1,1,3,17,0,1,50,51,30,69,70,65,50,50,32,41,0,51,50,17,71,0,85,50
5,1,0,1,5,2,7,63,4,9,0,1,3,1,3,0,0,1,0,2,15,0,50,85,85,70,100,50,85,100,50,1,50,100,100,100,50,100,50,100,85
7,3,2,1,6,1,2,61,1,10,10,1,2,1,1,1,0,1,1,2,21,0,60,30,15,40,85,70,70,40,40,60,70,15,100,70,60,85,40,70,30
4,4,0,1,99,1,4,28,6,14,0,1,3,1,1,1,0,1,1,4,24,0,43,75,48,7,12,40,77,56,48,72,23,50,100,50,62,100,19,100,73
5,3,0,1,4,1,1,55,1,11,9,1,2,1,1,1,0,1,1,2,21,0,50,60,60,100,50,60,60,100,50,90,70,60,60,50,80,100,50,70,1
4,2,0,1,6,1,2,74,1,95,8,5,0,1,1,1,0,1,1,2,10,0,100,40,50,50,100,60,70,60,50,70,85,15,100,70,85,85,40,85,1
7,1,0,1,99,1,4,60,1,13,14,1,0,1,1,1,0,1,1,3,25,0,62,87,51,71,72,52,61,62,62,60,60,61,72,62,50,70,61,87,50
6,4,0,2,3,2,8,29,1,13,13,1,3,1,1,1,0,1,1,2,23,2,17,85,61,50,90,31,17,31,87,41,40,86,16,87,30,41,87,100,88
4,4,0,1,6,1,4,70,1,13,10,5,0,1,1,1,0,1,2,3,9,0,50,51,30,40,85,60,70,70,50,30,60,40,100,85,50,85,50,85,50
4,4,0,1,4,1,4,62,1,9,11,1,0,1,1,1,0,2,2,3,1,0,50,60,30,60,60,70,85,50,60,70,70,40,100,50,998,85,30,100,15
7,4,4,1,5,2,8,48,1,14,14,1,0,3,3,4,4,1,1,2,17,0,40,50,15,30,50,40,40,50,50,30,50,30,50,50,40,60,50,100,15
7,2,0,1,6,2,8,37,1,16,14,1,0,1,1,1,0,1,1,2,28,4,14,29,26,23,67,74,71,64,98,29,51,78,51,73,26,76,68,79,32
6,3,0,1,4,1,5,36,1,13,13,7,3,5,1,1,0,1,1,2,21,0,40,30,60,50,85,15,60,40,40,40,50,40,100,85,70,85,40,70,30
1,1,1,1,99,1,4,59,6,10,0,6,2,6,1,1,0,1,2,1,8,0,60,50,60,50,50,40,60,50,70,30,50,50,70,50,50,60,50,70,85
3,3,2,1,99,2,8,66,6,13,0,4,4,6,1,1,0,2,0,1,3,0,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,85,50
5,2,0,2,5,1,4,73,3,13,0,1,3,1,1,1,0,1,1,2,0,0,70,50,40,50,100,70,85,70,40,30,50,50,100,100,85,100,40,85,1
7,2,0,1,4,1,6,65,1,15,13,1,3,1,2,1,0,1,1,2,0,0,50,40,50,70,60,40,50,40,60,40,60,60,60,100,1,50,60,85,40
7,2,0,1,3,1,1,20,6,10,0,1,3,1,1,1,0,1,1,1,27,0,70,30,60,70,100,1,60,85,100,30,1,100,70,100,50,85,100,100,60
7,2,2,1,7,1,2,59,1,9,9,7,0,1,1,1,0,1,0,2,14,0,99,1,51,37,87,24,99,87,1,52,52,1,99,99,52,94,1,74,1
7,2,4,1,3,2,8,57,1,9,9,1,3,1,1,1,0,1,1,2,0,0,1,70,60,70,85,40,30,85,85,15,85,85,85,85,30,85,85,100,70
5,2,0,1,4,1,8,44,1,12,11,7,2,2,1,1,0,1,1,1,18,0,17,31,66,64,62,46,39,65,62,55,60,63,50,62,31,84,64,80,100
7,3,2,2,4,2,4,50,6,10,0,1,2,1,1,1,0,1,2,4,3,0,50,50,50,15,75,45,60,50,50,20,50,5,50,85,50,95,50,80,1
1,2,2,1,6,1,2,58,6,10,0,1,2,1,1,1,0,1,1,1,17,0,100,40,15,60,70,60,100,60,40,40,30,15,100,100,50,85,15,40,15
7,1,0,1,7,1,2,82,3,14,0,5,3,1,1,1,0,1,1,3,19,0,100,30,1,1,85,60,100,70,1,60,70,50,100,70,60,85,1,30,1
5,2,2,1,99,2,4,66,5,13,0,5,4,1,1,1,0,1,1,3,23,0,50,50,50,70,100,70,60,60,1,70,85,1,70,70,50,100,1,50,1
7,2,1,1,4,2,8,72,1,13,13,5,3,1,1,1,0,1,1,2,24,0,1,60,70,60,70,50,40,60,60,30,50,50,60,50,1,50,60,80,60
7,1,1,1,4,1,5,50,4,14,0,1,0,2,3,4,4,1,1,2,14,0,50,95,85,70,100,40,50,60,50,40,60,80,100,70,1,60,50,80,80
5,1,0,1,6,1,2,33,1,13,8,1,2,5,2,1,0,1,1,2,21,0,100,15,1,30,100,50,85,30,50,30,100,50,100,100,50,100,50,50,30
6,3,4,1,4,1,5,32,1,12,13,1,0,1,1,1,0,1,1,2,23,0,100,1,50,50,70,50,50,100,60,50,50,1,100,100,70,100,1,85,15
7,4,4,2,99,2,8,32,6,10,0,7,0,2,3,1,0,1,1,1,1,0,100,100,1,100,100,84,1,70,100,1,1,85,85,85,1,100,100,100,100
2,3,2,1,99,1,2,35,1,9,13,1,2,5,2,1,0,1,1,2,23,0,70,50,30,60,50,40,70,60,50,60,50,50,100,50,50,100,15,50,50
5,3,0,1,4,2,8,70,3,10,0,5,2,6,1,1,0,1,0,1,3,0,30,50,70,70,100,15,50,50,1,50,15,30,50,50,70,15,1,60,100
7,2,1,1,2,2,6,26,6,13,9,1,3,1,1,1,0,1,1,1,12,0,35,95,90,50,100,15,40,60,100,65,50,100,50,80,1,95,100,100,95
7,4,4,1,4,1,2,65,3,11,0,1,0,1,1,1,0,2,1,3,18,0,60,50,40,60,50,50,60,60,50,50,60,60,70,60,40,60,40,70,60
5,3,0,1,3,1,5,29,6,13,0,1,0,0,1,1,0,1,1,1,7,0,40,75,40,60,50,60,65,50,80,65,40,30,90,80,50,90,80,85,40
5,1,0,1,99,1,2,74,1,6,11,7,1,1,1,1,0,1,2,4,1,0,50,100,1,85,100,85,30,85,1,100,15,85,100,100,100,100,15,70,60
1,4,5,1,3,2,4,54,4,10,0,1,0,1,3,4,2,1,1,2,12,0,30,50,60,50,50,57,38,59,50,51,50,46,40,50,59,82,50,82,49
7,2,0,1,4,1,5,36,1,13,10,1,3,1,2,1,0,1,1,2,21,0,14,98,85,61,81,72,39,68,72,38,71,62,59,79,38,98,63,92,6
7,1,1,1,4,1,7,75,1,10,10,5,3,1,1,1,0,1,1,3,20,0,15,100,98,52,100,40,44,100,100,18,50,99,50,100,40,85,87,100,100
7,2,1,1,99,1,2,0,4,14,0,1,0,0,1,1,0,1,1,2,0,0,0,69,50,99,97,15,47,50,84,14,86,0,83,91,0,71,87,98,76
7,1,4,1,6,2,5,38,1,13,15,2,4,1,1,1,0,1,1,2,28,0,60,40,15,30,70,60,85,50,60,30,85,30,60,85,70,100,40,60,15
7,1,0,1,2,2,8,60,1,14,10,1,0,1,1,1,0,1,1,2,23,0,30,85,70,70,50,40,30,70,70,40,50,60,15,70,15,60,50,100,40
5,1,2,1,6,1,7,46,4,10,9,1,0,1,1,1,0,1,1,1,18,0,20,1,10,30,80,80,100,85,100,80,100,80,100,100,80,100,50,80,1
7,2,1,1,4,2,8,37,1,9,9,1,1,5,1,1,0,2,1,2,9,0,0,0,0,0,82,0,0,0,86,55,18,70,74,73,0,51,78,77,70
7,1,1,1,3,2,8,54,1,13,13,1,3,1,1,1,0,1,1,2,28,0,1,30,42,1,70,50,31,40,60,40,50,51,50,71,1,70,71,71,16
6,1,1,1,99,1,0,58,4,0,0,0,0,0,1,1,0,2,2,1,0,0,50,100,85,100,0,60,30,70,0,60,0,0,100,0,15,100,0,100,100
7,2,0,1,7,1,2,50,1,11,12,1,0,1,1,1,0,1,2,3,23,0,100,50,1,70,85,70,100,30,1,30,50,1,100,85,85,85,1,30,1
5,2,5,1,1,1,7,0,0,13,0,1,3,1,1,1,0,1,2,1,15,0,59,70,85,90,32,30,56,55,70,15,54,77,75,85,17,60,78,85,75
4,3,0,1,5,1,1,23,6,10,0,1,0,1,1,1,0,1,1,4,6,0,50,50,50,60,50,50,50,70,50,50,50,50,85,50,0,100,50,80,50
2,4,2,1,5,1,5,61,1,15,11,6,4,3,2,4,1,1,0,2,0,0,30,40,30,60,80,40,30,75,50,20,70,75,70,75,60,80,60,85,70
4,2,0,1,5,1,2,65,3,9,0,1,0,1,1,1,0,1,1,1,13,0,40,40,30,40,60,30,60,40,60,40,40,40,85,60,40,70,60,60,60
7,2,1,1,6,1,1,59,6,13,0,1,0,1,1,1,0,1,1,3,15,0,92,73,30,62,51,62,70,34,14,71,71,32,100,70,61,97,15,63,16
7,2,1,1,2,2,8,58,1,14,14,1,0,1,1,1,0,1,1,1,16,0,30,70,70,60,70,15,40,85,85,15,50,85,30,50,15,70,50,100,70
7,4,1,1,1,1,4,41,1,14,14,1,0,1,1,1,0,1,1,2,26,0,30,90,100,70,85,40,15,80,90,40,50,90,70,90,50,70,85,90,60
7,1,1,1,3,2,6,60,1,16,16,1,3,1,1,1,0,1,1,2,27,0,40,70,85,70,70,40,40,70,85,40,70,40,60,100,30,70,50,85,60
7,1,0,1,4,1,1,54,6,13,0,1,3,1,1,1,0,1,1,2,13,0,50,85,60,65,71,30,69,86,89,51,45,84,100,89,52,85,85,92,50
5,1,1,1,99,1,5,56,1,13,10,1,0,1,1,1,0,1,1,2,23,0,70,70,60,100,85,70,70,70,60,60,85,30,100,85,85,100,70,70,1
6,2,4,1,3,2,8,37,1,13,12,1,3,1,1,1,0,1,1,2,24,0,5,70,60,60,85,5,30,55,85,5,40,85,40,85,10,60,50,100,70
1,4,1,1,99,1,2,72,4,13,99,4,2,2,1,1,0,2,2,3,3,0,85,50,50,70,100,85,50,85,50,70,100,50,85,85,50,85,50,85,50
7,1,1,1,1,1,2,32,1,14,15,1,3,2,1,1,0,1,1,2,27,0,55,85,90,82,81,50,35,34,51,58,50,53,60,55,13,4,50,77,91
7,2,2,1,6,1,4,87,1,9,10,5,3,1,1,1,0,1,0,3,15,0,50,50,60,77,85,70,75,0,85,60,90,60,100,95,50,95,87,100,10
7,1,0,1,2,1,1,62,4,14,0,1,0,1,1,1,0,1,1,1,10,0,15,85,85,85,85,50,40,40,85,30,60,70,85,70,15,70,60,70,85
7,1,1,2,5,1,4,61,6,13,0,1,2,1,1,1,0,1,1,1,11,0,70,71,62,76,94,75,74,61,100,57,85,87,98,100,80,85,85,86,40
1,4,0,1,5,2,2,32,1,12,13,1,3,3,3,4,4,1,1,2,25,0,60,70,40,15,70,15,70,70,85,15,70,60,70,70,40,100,85,85,15
3,3,0,1,3,1,4,20,6,10,0,8,0,5,2,1,0,1,1,1,27,0,70,60,60,60,70,50,40,85,50,50,50,60,60,60,50,85,50,85,50
7,2,2,1,6,1,4,73,1,10,14,5,3,1,2,1,0,1,1,2,26,0,70,42,1,42,69,71,100,62,51,60,72,50,83,71,85,92,51,70,1
7,3,2,1,7,2,8,72,3,13,0,1,0,1,1,1,0,2,2,3,15,0,30,50,30,50,50,30,85,70,50,70,50,50,60,85,50,85,50,50,15
7,3,1,1,99,2,8,62,1,8,9,1,3,5,3,4,2,1,0,2,1,0,60,50,50,50,100,70,50,70,85,50,50,50,50,60,50,85,85,70,50
3,3,2,1,5,1,1,48,1,10,12,1,3,1,1,1,0,1,1,1,20,0,85,50,1,30,60,70,60,60,30,1,60,50,10,85,50,30,30,30,30
7,3,4,1,4,1,5,58,1,13,12,5,0,1,1,1,0,1,1,2,27,0,40,70,40,50,50,40,50,70,50,30,50,50,70,50,50,85,50,85,40
7,4,4,1,5,2,4,46,1,9,12,1,2,1,1,1,0,1,0,2,17,0,50,50,50,50,100,50,50,50,100,50,100,100,100,100,50,100,100,100,50
3,3,0,2,7,1,2,0,1,10,8,1,0,5,2,1,0,1,1,2,9,0,70,60,100,70,70,85,70,70,60,70,70,70,100,100,60,70,60,70,70
7,1,1,1,2,2,8,34,1,15,15,1,0,1,1,1,0,1,1,2,25,0,1,64,79,60,60,61,5,61,100,10,61,41,29,100,4,70,71,90,61
7,1,1,1,4,1,2,63,4,13,0,1,3,2,1,1,0,2,2,1,1,0,36,47,30,25,64,28,30,50,60,50,1,23,66,45,2,40,60,30,59
4,2,1,1,1,2,8,23,6,12,0,1,0,1,2,1,0,1,1,1,7,0,1,100,60,60,60,1,1,14,100,10,38,100,34,100,47,10,100,97,100
7,2,4,1,4,2,8,88,1,13,10,5,3,1,1,1,0,1,1,2,21,0,42,62,61,62,71,62,61,62,63,42,72,43,61,72,62,72,63,72,18
6,4,1,1,99,1,1,79,1,9,4,5,3,1,1,1,0,1,2,3,9,0,100,50,60,40,100,70,50,70,15,70,70,60,100,85,85,100,16,85,85
7,3,1,1,6,1,4,76,1,95,8,7,0,1,1,1,0,1,1,3,9,0,0,16,40,50,97,41,86,44,3,29,39,50,100,52,52,85,1,85,39
6,2,0,1,99,1,8,61,1,9,6,6,1,1,1,1,0,1,2,3,3,0,70,50,30,60,85,60,70,85,40,70,60,50,100,100,70,85,30,85,40
1,4,2,1,4,2,8,47,4,9,0,1,2,5,1,1,0,1,1,1,17,0,50,50,50,85,100,50,50,50,100,70,85,60,100,100,85,100,100,85,30
2,4,0,1,99,1,5,25,2,11,7,1,2,1,1,1,0,1,1,2,21,0,50,50,50,50,50,70,50,50,15,50,50,15,85,50,50,100,15,50,15
5,3,0,1,1,2,4,32,1,13,13,1,0,1,1,1,0,1,1,2,28,0,2,100,90,90,95,10,30,80,90,45,15,85,60,85,10,75,90,100,90
7,1,1,1,2,1,7,70,4,14,0,1,3,1,1,1,0,1,1,2,12,0,15,85,100,70,85,30,1,40,85,40,40,85,85,85,1,60,85,85,60
7,1,2,1,6,1,2,49,1,13,13,1,0,1,1,1,0,1,1,3,23,0,70,40,15,40,70,70,85,30,70,40,50,30,100,50,70,85,50,50,1
7,1,2,1,6,1,4,63,4,11,9,6,3,5,1,1,0,1,0,3,13,0,70,50,50,60,100,85,70,60,70,60,70,50,100,100,50,100,70,60,70
7,2,0,1,5,2,8,54,4,16,13,1,3,5,3,1,0,1,1,2,27,0,40,60,85,15,60,30,60,50,60,30,60,50,60,60,30,60,60,50,70
7,1,2,1,6,1,1,78,1,10,10,5,2,1,1,1,0,1,2,2,7,0,40,1,40,1,40,40,40,60,60,60,40,60,70,50,85,60,60,50,15
1,4,0,1,3,2,8,25,6,14,0,1,3,1,1,1,0,1,1,1,14,0,53,62,85,53,63,54,41,64,94,61,73,85,85,90,71,71,72,96,32
5,2,2,1,5,1,5,24,6,10,0,1,2,1,1,1,0,1,1,2,15,0,50,30,30,85,70,15,85,40,50,15,40,50,100,30,30,1,50,85,50
7,1,0,1,2,1,1,41,1,15,13,1,3,1,1,1,0,1,1,1,27,0,1,100,100,70,100,40,40,60,100,40,60,100,100,100,15,100,100,100,60
7,2,0,1,99,1,2,50,4,13,0,1,0,2,1,1,0,1,1,1,19,0,85,30,50,70,85,70,60,60,1,60,50,1,100,85,60,70,1,70,70
7,1,0,1,3,1,1,78,3,13,0,5,0,1,2,1,0,1,2,2,11,0,60,85,85,85,85,60,15,70,85,30,50,85,100,100,15,100,85,100,70
7,1,4,1,6,1,2,81,4,9,0,5,3,1,1,1,0,1,2,3,11,0,70,70,1,30,60,70,100,70,50,50,50,50,85,50,85,100,50,70,1
5,3,0,1,99,1,2,48,1,9,9,1,2,1,1,1,0,1,1,1,12,0,60,30,1,50,60,50,50,50,15,40,30,15,100,100,50,60,1,40,60
7,2,4,1,99,2,5,37,1,9,11,1,2,3,3,4,4,1,1,2,28,0,1,50,50,50,60,30,65,75,1,30,60,1,75,50,50,75,45,100,1
5,4,0,1,6,2,4,25,1,10,10,1,0,1,1,1,0,2,1,2,15,0,60,50,1,85,30,70,85,70,50,60,60,1,85,50,50,85,30,60,1
7,1,0,1,4,1,4,47,6,10,0,1,2,1,1,1,0,1,1,1,5,0,50,32,50,98,85,52,71,42,95,60,51,3,71,72,69,86,70,98,50
1,3,4,2,4,1,0,35,5,9,0,1,2,1,1,1,0,2,0,1,1,0,1,50,9,60,50,9,50,60,50,60,50,50,50,50,50,85,50,60,50
7,1,1,1,2,2,7,74,1,16,14,5,3,1,1,1,0,1,2,3,28,0,2,85,85,84,86,50,15,31,70,16,51,30,0,69,1,50,70,99,85
7,3,0,1,5,1,4,50,4,13,0,1,0,1,1,1,0,1,1,3,21,0,46,62,32,71,65,45,71,66,53,60,60,59,65,65,56,42,53,75,51
6,3,2,1,5,1,1,59,1,14,9,1,3,1,1,1,0,1,1,2,22,0,50,70,60,60,85,70,85,85,30,50,85,85,100,100,70,99,15,100,40
7,1,4,1,5,2,8,69,4,10,0,5,3,1,1,1,0,2,2,3,3,0,70,51,84,39,92,74,86,92,80,30,87,65,77,93,90,93,79,92,16
7,1,1,1,4,1,2,62,1,11,10,6,0,2,1,1,0,1,1,2,13,0,70,85,100,100,100,40,70,40,70,30,85,70,100,70,70,60,60,85,100
5,2,1,1,2,2,4,19,6,9,0,1,2,1,1,1,0,1,1,1,11,0,15,70,85,70,70,30,30,70,85,50,40,85,70,50,15,70,100,100,100
7,2,0,1,99,1,2,65,1,9,9,5,0,1,1,1,0,1,1,1,11,0,51,34,53,1,62,43,51,52,69,28,32,51,78,54,66,70,63,74,62
7,1,0,1,6,1,2,50,1,9,9,1,0,1,1,1,0,1,1,2,27,0,85,60,70,50,60,50,85,60,70,60,70,50,85,85,60,85,50,50,50
7,2,1,1,2,1,1,66,4,13,0,5,0,1,1,1,0,1,2,1,20,0,1,100,85,85,100,50,15,100,100,15,50,100,100,100,1,85,100,100,70
7,3,0,1,4,1,4,35,1,13,13,1,3,1,1,1,0,1,1,2,22,0,40,16,42,15,90,69,93,49,60,31,53,65,84,71,46,95,41,49,30
7,1,0,1,4,2,8,47,1,13,13,1,3,1,1,1,0,1,1,2,23,0,100,99,98,100,98,98,97,85,99,84,86,98,97,99,86,98,100,100,100
7,2,1,1,1,2,8,43,1,10,16,1,4,1,1,1,0,1,1,2,27,0,1,100,75,85,85,1,1,45,100,40,30,100,30,100,1,51,100,100,100
7,1,1,1,1,2,8,31,6,13,13,1,0,1,1,1,0,1,1,2,8,0,1,100,100,85,85,30,30,60,100,40,60,100,30,100,1,40,100,100,100
6,2,1,2,2,2,8,25,6,10,0,1,0,1,1,1,0,1,1,1,7,0,1,50,70,100,50,60,40,50,100,40,50,50,30,50,50,40,100,100,85
7,1,1,1,4,1,5,67,1,13,12,5,3,5,2,1,0,1,1,2,18,0,40,40,60,60,60,40,50,70,85,30,60,60,85,60,15,85,60,60,60
3,3,0,1,99,1,3,27,6,14,0,1,0,2,1,1,0,1,1,1,15,0,60,70,50,60,85,60,50,60,50,60,40,50,70,50,50,60,40,60,100
7,2,0,1,4,1,1,70,1,13,15,5,3,1,1,1,0,1,1,2,19,0,60,70,70,85,85,70,40,85,60,40,60,70,85,85,30,70,50,85,70
3,3,1,2,99,2,8,38,1,13,13,1,0,4,1,1,0,1,1,1,13,0,85,100,100,85,100,60,70,70,100,70,100,100,100,100,70,100,100,85,100
